SpeciesBROAD	GroupName	LitterSz	Body_mass	Brain_mass	Colour_vision	Social_organization	Coenspecific_violence	Paternal_care	Female_Ranging_patterns	Infanticide	Mating_system	Gestation_length	Weaning_age	Weaning_prop	Seasonal_breeders	BodyMass_kg	BodyMassMale_kg	BodyMassFemale_kg	DielActivity	TrophicGuild	Locomotion	IUCN_ER	IUCN_Pop_Trend	Habitat	BrainSizeSpeciesMean	BrainSizeFemaleMean	Body.MassMaleMean	BodyMassFemaleMean	MassDimorphism	MeanGroupSize	AdultMales	AdultFemale	AdultSexRatio	InterbirthInterval_days	Gestation	WeaningAge_d	MaxLongevity_m	GR_MidRangeLat_dd	Precip_Mean_mm	Temp_Mean_degC	AET_Mean_mm	PET_Mean_mm	HomeRange_km2	DayLength_km	Territoriality	Fruit	Leaves	Fauna	CanineDimorphism	Feed	Move	Rest	Social	Mating.System	SocialSystem	NatalDispersal	StableGroups	Body.mass..g.	Endocranial.volume..cm3.	Neonatal.mass..g.	Offspring.per.litter	Interbirth.interval..days.	Gestation..days.	Lactation..days.	Age.of.female.at.first.reproduction..y.	Maximum.lifespan..y.	Maximum.possible.reproductive.success.under.optimal.conditions..rmax.	SocialMatingSystem	Monopolization	FemalesPerMaleInBreedingGroup	MalesPerBreedingGroup	SocialGroupSize	MaleBodyMass.SexSzeDimorphismDataset..in.g	FemaleBodyMass.SexSizeDimorphismDataset..in.g	SexualSizeDimorphism	MaleCanineHeight.in.mm	FemaleCanineHeight.in.mm	SexualCanineDimorphism	MaleBodyMass.CanineDataset..in.g	CombinedTestesMass.in.g	MaleBodyMass.TestesDataset..in.g	meanMaleBodyMass.in.g	HeadFlesh	HeadSkin	HeadHair	BodyFlesh	BodySkin	BodyHair	BodyPelageDichrom	GenitalFlesh	GenitalSkin	GenitalHair	SexualOrnamentDimorphism..ExcludingDichromatism.	SexualOrnamentDimorphism	TotalOrnamentDimorphism	BasalMetabolicRate_ml_O2.h	RestingMetabolicRate_kcal.day	R_Ratio_MtoF_DLCBirths	R_Mean_LitterSize	R_MostCommon_LitterSize	R_Freq_MostCommon_LitterSize	R_Min_LitterSize	R_Max_LitterSize	R_Expected_Gestation_d	R_Pattern_Breeding	R_Peak_Breeding_Month	R_Peak_Birth_Month	R_Min_Dam_AgeAtConcep_y	R_Min_Sire_AgeAtConcep_y	R_Max_Dam_AgeAtConcep_y	R_Max_Sire_AgeAtConcep_y	M_Mean_All_AdultWeight_g	M_Min_All_AdultWeight_g	M_Max_All_AdultWeight_g	M_Mean_M_AdultWeight_g	M_Min_M_AdultWeight_g	M_Max_M_AdultWeight_g	M_Mean_F_AdultWeight_g	M_Min_F_AdultWeight_g	M_Max_F_AdultWeight_g	M_Mean_All_NeonateWeight_g	M_Min_All_NeonateWeight_g	M_Max_All_NeonateWeight_g	M_Mean_M_NeonateWeight_g	M_Min_M_NeonateWeight_g	M_Max_M_NeonateWeight_g	M_Mean_All_YngAdultWeight_g	M_Min_All_YngAdultWeight_g	M_Max_All_YngAdultWeight_g	M_Mean_M_YngAdultWeight_g	M_Min_M_YngAdultWeight_g	M_Max_M_YngAdultWeight_g	M_Mean_F_YngAdultWeight_g	M_Min_F_YngAdultWeight_g	M_Max_F_YngAdultWeight_g	L_Max_All_Age_y	L_Max_M_Age_y	L_Max_F_Age_y	L_Median_All_Longevity_gt30d_y	L_Median_M_Longevity_gt30d_y	L_Median_F_Longevity_gt30d_y	L_Pct_All_InfMort_lt30d	L_Pct_M_InfMort_lt30d	L_Pct_F_InfMort_lt30d	L_Pct_ND_InfMort_lt30d	Dorsal.Luminance	Ventral.Luminance	Actual.evapotranspiraton..mm.	Positional.behaviour	BodyMassForOrganMass_g	FatFreeBodyMass_g	BrainMass_g	Heart_Mass_g	LungsMass_g	KidneysMass_g	LiverMass_g	DigestiveTractMass_g	StomachMass_g	IntestineMass_g	SpleenMass_g	VisceralOrganMass_g	AdiposeDepots_g	SemicircularCanalRadiusOfCurvatureMean_mm	AxialEyeDiameter_mm	VisualAcuity_cycles.deg	AgilityScore	BV	Medulla	Cerebellum	Mesencephalon	Diencephalon	Telencephalon	MOB	AOB	Piriform.Lobe	Septum	Striatum	Striatum..incl..NAcc.	Schizocortex	Hippocampus	Neocortex..GM.WM.	Neocortex..GM.	Epithalamus	Thalamus	Hypothalamus	Subthalamus	Pallidum	Subthalamic.Nucleus	Optic.Tract	V1..GM.	LGN	Paleocortex	Amygdala	Vmo	VII	XII	Granular.Insula	Dysgranular.Insula	Agranular.Insula	Insula..GM.	Albumin	Albumin.Globulin.Ratio	Albumin.protein.Ratio	Alkaline.Phosphatase	Amylase	Basophils..	Basophils.Abs	Bilirubin.Total	Blood.Urea.Nitrogen	Body.Weight	Bun.Creat.Ratio	Calcium	Chloride	Cholesterol	CPK	Creatinine	Eosinophils..	Eosinophils.Abs	GGT	Globulin	Glucose	Hematocrit	Hemoglobin	Lactic.Dehydrogenase	Lipase	Lymphocytes..	Lymphocytes.Abs	Magnesium	Mean.Corpuscular.Hemoglobin	Mean.Corpuscular.Volume	Mean.Corpusuclar.Hemoglobin.C	Monocytes..	Monocytes.Abs	Neutrophil.Band..	Neutrophil.Band.Abs	Neutrophil.Seg..	Neutrophil.Seg.Abs	Phosphorus	Platelets	Potassium	Red.Blood.Cells	Ser.Glut.Oxaloacetic.Transamin.	Ser.Glut.Pyruvic.Transaminase	Sodium	Total.Protein	Triglycerides	Uric.Acid	White.Blood.Cells	Total.T4	Carbon.Dioxide	Bicarbonate	Bilirubin.Direct	Diastolic.Blood.Pressure	Glycosylated.Hemoglobin	High.Density.Lipoprotein	Iron	Low.Density.Lipoprotein	Rectal.Body.Temperature	Systolic.Blood.Pressure	Fibrinogen	Total.Solids	Axillary.Body.Temperature	Bone.Thickness	Fingernail.Growth.Rate
Allenopithecus_nigroviridis	OWM_Cercopithecidae_Allenopithecus_nigroviridis	1.01	8.44569719	4.060787779	Trichromatic	Multimale	NA	Absent	Overlap	Low	Polygynandrous	NA	NA	NA	NA	5.3	6.13	3.18	D	Frugivore	BOTH	1	NA	Forest/Wetlands	58.02	53.7	6130	3180	1.928	NA	NA	NA	NA	NA	NA	106.15	276	-0.17	1574	25.2	1517.8	1589.4	NA	NA	NA	NA	NA	NA	2.21	NA	NA	NA	NA	NA	Polygynandry	Sexbiased	Yes	NA	NA	NA	NA	NA	NA	108	NA	27	NA	Multimale	No	NA	NA	35	6130	3180	1.928	18.41	8.33	2.21	6130	16.96	5000	5753	0	0	0	0	0	0	0	0	1	0	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocebus_trichotis	STR_Cheirogaleidae_Allocebus_trichotis	1	NA	NA	Monochromatic	Solitary	NA	Absent	NA	NA	Monogamous	NA	NA	NA	NA	0.08	0.092	0.084	N	Omnivore	AR	3	1	Forest	NA	NA	92	84	1.095	1	1	1	NA	NA	NA	NA	NA	-16.59	1902.3	20.3	1388.2	1653.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair	Bisexual	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allochrocebus_lhoesti	OWM_Cercopithecidae_Allochrocebus_lhoesti	1	8.457443187	4.30676415	Trichromatic	Unimale	NA	Absent	Overlap	Low	Polygynous	NA	NA	NA	No	5.5	7	3	D	Omnivore	T	3	1	Forest/Shrubland/Wetlands	74.2	67.3	5970	3450	1.730	NA	NA	NA	NA	485.45	NA	NA	192	-1.13	1271.3	22.6	1418.5	1597.6	NA	NA	NA	24.5	35.2	8.8	1.84	NA	NA	NA	11.4	Harem Polygyny	Polygyny	Sexbiased	Yes	NA	NA	NA	NA	485	NA	NA	NA	24.1	NA	Polygynous	Yes	NA	NA	23.5	5970	3450	1.73	19.93	10.82	1.842	5970	NA	NA	5970	0	0	0	0	0	0	0	0	1	0	1	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allochrocebus_preussi	OWM_Cercopithecidae_Allochrocebus_preussi	1.02	NA	NA	Trichromatic	Unimale/Multimale	0.51	Absent	Overlap	Low	Polygynous	NA	NA	NA	NA	4.525	4.7	2.9	D	Omnivore	T	4	1	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	312	4.78	2348.2	24.5	1255.2	1565.5	NA	NA	NA	51.9	41.4	1.0	1.774	NA	NA	NA	NA	NA	Polygyny	Sexbiased	Yes	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.3	23	1255	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allochrocebus_solatus	OWM_Cercopithecidae_Allochrocebus_solatus	1.01	NA	NA	Trichromatic	Unimale	NA	Absent	Overlap	Low	Polygynous	NA	NA	NA	NA	6.35	6.89	3.92	D	Omnivore	BOTH	2	NA	Forest	NA	NA	6890	3920	1.758	NA	NA	NA	NA	547.5	NA	NA	NA	-0.8	1734.9	24.8	1278.6	1502.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Polygyny	Sexbiased	Yes	NA	NA	NA	NA	548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alouatta_arctoidea	PLA_Atelidae_Alouatta_arctoidea	NA	NA	NA	Trichromatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.37	7	5.75	D	Folivore	AR	1	NA	Forest/Savanna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alouatta_belzebul	PLA_Atelidae_Alouatta_belzebul	NA	8.763271714	3.96726848	Trichromatic	Unimale/Multimale	4	NA	NA	NA	NA	NA	NA	NA	NA	6.4	7.27	5.52	D	Folivore_frugivore	AR	3	1	Forest	52.84	51.19	7270	5520	1.317	7	1	1	1	NA	NA	NA	NA	-6.8	1643.5	24.9	1286.6	1549.8	NA	NA	NA	57.3	19.1	0.0	1.811	13.75	18.75	57.3	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alouatta_caraya	PLA_Atelidae_Alouatta_caraya	1.01	8.591001119	3.963286299	Trichromatic	Pair/Unimale/Multimale	6.84	Absent	Overlap	High	Polygynous/Polygynandrous	187	325	0.63	No	5.38	6.42	4.33	D	Folivore_frugivore	AR	2	1	Forest/Savanna	52.63	47.8	6525	4240	1.539	8	2.3	3.3	1.43	337.62	187	323.16	243.6	-20.34	1166.4	22.9	1193.1	1404.9	NA	0.4	NA	23.8	67.7	0.0	1.542	15.9	17.6	61.6	4.9	Harem Polygyny	Polygynandry	Bisexual	NA	4240	49.2	262	1	483	187	325	3.71	32.4	0.199	Polygynous	Yes	1	1	10.1	6420	4330	1.483	14.74	9.56	1.542	6420	18.37	6420	6420	0	0	1	0	0	0	1	0	1	0	2	3	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178	282	84	544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alouatta_discolor	PLA_Atelidae_Alouatta_discolor	NA	NA	NA	Trichromatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.37	7.25	5.5	D	Folivore_frugivore	AR	3	1	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alouatta_guariba	PLA_Atelidae_Alouatta_guariba	NA	8.551594618	3.945457782	Trichromatic	Pair/Unimale/Multimale	0.31	NA	NA	NA	NA	NA	NA	NA	NA	5.54	6.73	4.35	D	Folivore_frugivore	AR	1	1	Forest	51.7	49.08	5800	4550	1.275	6.53	1.37	2.2	1.61	NA	NA	NA	NA	-21.13	1332.3	19.6	1225.7	1332.2	0.03	NA	NA	5.2	73.0	0.0	1.783	18.33	14.33	64.37	3	NA	Polygyny	NA	NA	4550	49.1	NA	NA	NA	NA	NA	NA	NA	NA	Polygynous	Yes	NA	NA	6.5	6730	4350	1.547	13.98	5.78	2.419	6730	8.85	6700	6720	0	0	1	0	0	0	1	0	0	0	1	2	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
